20,600,1,10,255:255:0,visible
60,600,1,10,255:255:0,visible
100,600,1,10,255:255:0,visible
140,600,1,10,255:255:0,visible
180,600,1,10,255:255:0,visible
220,600,1,10,255:255:0,visible
260,600,1,10,255:255:0,visible
300,600,1,10,255:255:0,visible
340,600,1,10,255:255:0,visible
380,600,1,10,255:255:0,visible
420,600,1,10,255:255:0,visible
460,600,1,10,255:255:0,visible
20,560,2,20,255:128:0,visible
60,560,2,20,255:128:0,visible
100,560,2,20,255:128:0,visible
140,560,2,20,255:128:0,visible
180,560,2,20,255:128:0,visible
220,560,2,20,255:128:0,visible
260,560,2,20,255:128:0,visible
300,560,2,20,255:128:0,visible
340,560,2,20,255:128:0,visible
380,560,2,20,255:128:0,visible
420,560,2,20,255:128:0,visible
460,560,2,20,255:128:0,visible
60,520,1,10,255:255:0,invisible
140,520,1,10,255:255:0,invisible
220,520,1,10,255:255:0,invisible
300,520,1,10,255:255:0,invisible
380,520,1,10,255:255:0,invisible
460,520,1,10,255:255:0,invisible
20,480,2,20,255:128:0,visible
60,480,2,20,255:128:0,visible
100,480,2,20,255:128:0,visible
140,480,2,20,255:128:0,visible
180,480,2,20,255:128:0,visible
220,480,2,20,255:128:0,visible
260,480,2,20,255:128:0,visible
300,480,2,20,255:128:0,visible
340,480,2,20,255:128:0,visible
380,480,2,20,255:128:0,visible
420,480,2,20,255:128:0,visible
460,480,2,20,255:128:0,visible
20,440,1,10,255:255:0,invisible
100,440,1,10,255:255:0,invisible
180,440,1,10,255:255:0,invisible
260,440,1,10,255:255:0,invisible
340,440,1,10,255:255:0,invisible
420,440,1,10,255:255:0,invisible
